regime,split_seed,target,horizon_k,n_train,n_test,r2,mae,per_r2,per_mae,var_test
random_pairs,3,salinity,1,855,312,0.8641840025765695,1.4590132518008179,0.7646307279228998,1.8500169023251316,29.82018423264757
random_pairs,3,salinity,2,848,299,0.8620263861091749,1.5930159351133215,0.7179522615076823,2.0696552136053192,33.91373942059629
random_pairs,3,salinity,3,827,294,0.8470894274246867,1.5470193813826332,0.6496168214846282,2.2431420596252893,28.025992856615982
random_pairs,3,Chl_a_log1p,1,982,407,0.624355243321508,0.4024354801203449,0.5191341763733053,0.44889891187457615,0.8484634880066076
random_pairs,3,Chl_a_log1p,2,962,395,0.663224690162483,0.4104407058953712,0.43328249072478786,0.5352217770157168,0.9644243881815848
random_pairs,3,Chl_a_log1p,3,944,382,0.6216072062466913,0.3976962535277525,0.36230543930266834,0.5061165848072863,0.8241475670345088
random_pairs,3,Caffeine,1,883,361,0.4879129712570067,14.26859542550803,0.1788320140001366,17.935180055401663,1967.8146909554102
random_pairs,3,Caffeine,2,872,336,0.5883289749765335,12.421455141192393,-0.5759166581792092,20.275,1107.8306714143991
random_pairs,3,Caffeine,3,841,315,0.5241036917212956,11.107012989710247,-0.9547891024440067,19.372380952380954,814.3635454774502
random_pairs,3,Metoprolol,1,883,361,0.25890187557274824,16.014485270077998,0.1421076396236084,15.65152354570637,2008.0003960988636
random_pairs,3,Metoprolol,2,876,341,0.26474238655809523,17.352754143605836,-0.12439219680237756,19.765395894428156,1910.4806723368392
random_pairs,3,Metoprolol,3,850,317,0.41616493752755856,15.13736076317375,0.5089050646817177,14.234069400630917,2002.1714884216185
random_pairs,3,Atrazine,1,886,353,0.20553659953491854,0.19775950763600142,-0.42814028825073014,0.23456090651558076,0.5978178141225754
random_pairs,3,Atrazine,2,866,337,0.1269102136155501,0.18404050565061797,-0.7728909313571442,0.2593471810089021,0.5323498489904814
random_pairs,3,Atrazine,3,841,324,0.037840027259100295,0.1796118013021273,-0.7172222296444977,0.25864197530864197,0.5632840839811005
random_pairs,4,temperature,1,854,327,0.9793044227104185,0.7236605530194625,0.95628118323931,1.0707835815525486,42.05287577925131
random_pairs,4,temperature,2,840,328,0.9758882588053216,0.6901422233376675,0.9177657722224253,1.3137700679770978,35.564398907110345
random_pairs,4,temperature,3,817,312,0.9786429910667601,0.6873490989304628,0.8884687952788434,1.73259838690406,41.10472028613411
random_pairs,4,salinity,1,846,336,0.8403892671536809,1.55366157554623,0.7195207909376338,1.9510807006336504,27.506614582368208
random_pairs,4,salinity,2,845,310,0.8402378927640711,1.6042479352177004,0.6728994048073345,2.1792255027598038,29.72541177825212
random_pairs,4,salinity,3,824,298,0.8561566502909328,1.471502357220726,0.6577882037112934,2.172771620734828,26.29499605225926
random_pairs,4,Chl_a_log1p,1,979,411,0.6043625137778021,0.4152052913616617,0.40244310095295266,0.5143085414306318,0.9218692700212726
random_pairs,4,Chl_a_log1p,2,961,400,0.6947877534383604,0.3884312402532963,0.38228214393149507,0.5403163724587724,0.9250039760707651
random_pairs,4,Chl_a_log1p,3,939,399,0.6528201904627197,0.3747835863133011,0.382038562946575,0.498385358549313,0.7682746758464133
random_pairs,4,Caffeine,1,895,347,0.6111842073284028,11.861216783386142,-0.21050900176567766,17.879250720461098,1189.0206989510752
random_pairs,4,Caffeine,2,866,345,0.35504245564737547,12.272074544326118,-0.13938838191031677,17.768695652173914,1416.9350240705735
random_pairs,4,Caffeine,3,842,327,0.5320139319989222,12.626566339195321,-0.15603416203882126,19.946788990825688,1116.6007599435138
random_pairs,4,Metoprolol,1,890,352,0.33963474009094075,15.627132603792813,0.17047313027119781,15.424999999999999,1923.5811773631199
random_pairs,4,Metoprolol,2,872,340,0.37788377939469386,15.938208099814025,0.30972637212169485,16.460588235294118,1984.5798279411765
random_pairs,4,Metoprolol,3,863,308,0.3314524441316169,15.28148068667619,0.12333255213244876,15.842207792207795,1671.702105224321
random_pairs,4,Atrazine,1,887,350,0.11370553124953586,0.1597366284780645,-0.19433799551105935,0.14914285714285716,0.4573962448979592
random_pairs,4,Atrazine,2,870,337,0.1654105154077914,0.17038582943072259,-0.6428160902403606,0.21186943620178042,0.4724824555996796
random_pairs,4,Atrazine,3,867,296,0.10706728652749409,0.17071465683746626,-1.1981667620239347,0.25709459459459455,0.43188629930606276
