emb_target,input,strategy,fold,pred_target,emb_r2,raw_r2,emb_wins,n_test,seed,model_path
Chl_a_log1p,16S,random_kfold,2,Chl_a_log1p,0.8386974334716797,0.3686484694480896,True,287,42,auto
Chl_a_log1p,16S,random_kfold,3,temperature,0.9201952815055848,0.7687807083129883,True,223,42,auto
Chl_a_log1p,16S,random_kfold,3,salinity,0.908314883708954,0.729134202003479,True,222,42,auto
Chl_a_log1p,16S,random_kfold,3,Chl_a_log1p,0.8433126211166382,0.6524624228477478,True,287,42,auto
Chl_a_log1p,16S,random_kfold,4,temperature,0.9256640076637268,0.6910214424133301,True,234,42,auto
Chl_a_log1p,16S,random_kfold,4,salinity,0.9186139106750488,0.707176923751831,True,233,42,auto
Chl_a_log1p,16S,random_kfold,4,Chl_a_log1p,0.7351559996604919,0.5581333637237549,True,287,42,auto
Chl_a_log1p,16S,temporal_blocked_kfold,0,temperature,0.8184319734573364,-43.86628341674805,True,132,42,auto
Chl_a_log1p,16S,temporal_blocked_kfold,0,salinity,0.8915308117866516,-16.883544921875,True,132,42,auto
Chl_a_log1p,16S,temporal_blocked_kfold,0,Chl_a_log1p,0.6779502630233765,-138.38771057128906,True,288,42,auto
Chl_a_log1p,16S,temporal_blocked_kfold,1,temperature,-1.067028284072876,-5221.23193359375,True,241,42,auto
Chl_a_log1p,16S,temporal_blocked_kfold,1,salinity,0.7270092964172363,-92.05905151367188,True,241,42,auto
Chl_a_log1p,16S,temporal_blocked_kfold,1,Chl_a_log1p,0.689464807510376,-133.68280029296875,True,288,42,auto
Chl_a_log1p,16S,temporal_blocked_kfold,2,temperature,0.762239933013916,-0.985207200050354,True,239,42,auto
Chl_a_log1p,16S,temporal_blocked_kfold,2,salinity,0.8241080045700073,-0.3910958766937256,True,232,42,auto
Chl_a_log1p,16S,temporal_blocked_kfold,2,Chl_a_log1p,0.4829205274581909,-0.3314709663391113,True,287,42,auto
Chl_a_log1p,16S,temporal_blocked_kfold,3,temperature,-1.960439682006836,-48.09189224243164,True,286,42,auto
Chl_a_log1p,16S,temporal_blocked_kfold,3,salinity,0.8429228067398071,-0.3213721513748169,True,287,42,auto
Chl_a_log1p,16S,temporal_blocked_kfold,3,Chl_a_log1p,0.3129796385765075,-44.22444152832031,True,287,42,auto
Chl_a_log1p,16S,temporal_blocked_kfold,4,temperature,-0.0071032047271728,-6.294269561767578,True,243,42,auto
Chl_a_log1p,16S,temporal_blocked_kfold,4,salinity,0.685857892036438,0.2666149139404297,True,243,42,auto
Chl_a_log1p,16S,temporal_blocked_kfold,4,Chl_a_log1p,0.8133829236030579,-0.2610695362091064,True,287,42,auto
Chl_a_log1p,18S,random_kfold,0,temperature,0.9082521200180054,0.8430035710334778,True,229,42,auto
Chl_a_log1p,18S,random_kfold,0,salinity,0.8727307319641113,0.8035224080085754,True,229,42,auto
Chl_a_log1p,18S,random_kfold,0,Chl_a_log1p,0.7493108510971069,0.6848633289337158,True,288,42,auto
Chl_a_log1p,18S,random_kfold,1,temperature,0.8920184373855591,0.7965724468231201,True,225,42,auto
Chl_a_log1p,18S,random_kfold,1,salinity,0.8760203123092651,0.8035382628440857,True,223,42,auto
Chl_a_log1p,18S,random_kfold,1,Chl_a_log1p,0.7967882752418518,0.6694457530975342,True,288,42,auto
Chl_a_log1p,18S,random_kfold,2,temperature,0.9321027994155884,0.8578387498855591,True,230,42,auto
