target,k,site,n_pairs,n_dropped_gap,n_distinct,pct_zero,pearson,spearman,usable
Metoprolol,1,Stadthafen Rostock,88,0,37,56.81818181818182,0.6592304230558507,0.6241517543746614,True
Metoprolol,1,Steilkueste Nienhagen,88,1,2,97.72727272727273,,,False
Metoprolol,1,Warnemuende Strand,86,0,1,100.0,,,False
Metoprolol,2,Boergerende Strand,85,0,8,89.41176470588236,0.17763058444715962,0.04066835588842347,True
Metoprolol,2,Diedrichshagen,81,2,1,100.0,,,False
Metoprolol,2,Elmenhorst Strand,85,2,1,100.0,,,False
Metoprolol,2,Jemnitzschleuse,79,2,22,73.41772151898735,-0.05119005954379202,-0.17071299456028538,True
Metoprolol,2,Mittelmole Warnemuende,77,2,2,97.40259740259741,,,False
Metoprolol,2,Muehlendamm,81,2,36,55.55555555555556,0.4990110856444616,0.5838524676878646,True
Metoprolol,2,Neptun-Werft,75,2,21,72.0,-0.07267703751836839,-0.016884531590413945,True
Metoprolol,2,Parkplatz zur Warnow,79,2,45,41.77215189873418,0.5537741051518579,0.5046389150416117,True
Metoprolol,2,SAB Marina Bramow,81,2,65,17.28395061728395,0.5007239845888906,0.45601980039237583,True
Metoprolol,2,Schmarl-Dorf / IGA-Park,76,3,44,39.473684210526315,0.290139021435907,0.30556703297367616,True
Metoprolol,2,Schwimmhalle Gehlsdorf,80,0,49,38.75,0.6796078711631477,0.6283100477817428,True
Metoprolol,2,Stadthafen Rostock,84,0,36,55.952380952380956,0.5374514042126289,0.4630977513747054,True
Metoprolol,2,Steilkueste Nienhagen,83,2,3,97.59036144578313,,,False
Metoprolol,2,Warnemuende Strand,84,0,1,100.0,,,False
Metoprolol,3,Boergerende Strand,81,0,8,88.88888888888889,-0.012589819903671721,0.009154685928887614,True
Metoprolol,3,Diedrichshagen,76,3,1,100.0,,,False
Metoprolol,3,Elmenhorst Strand,80,3,1,100.0,,,False
Metoprolol,3,Jemnitzschleuse,74,3,22,71.62162162162163,0.0477380448569248,0.002410992252054025,True
Metoprolol,3,Mittelmole Warnemuende,72,3,2,98.61111111111111,,,False
Metoprolol,3,Muehlendamm,76,3,36,52.63157894736842,0.4141813332262944,0.5028166501596808,True
Metoprolol,3,Neptun-Werft,68,3,20,70.58823529411765,0.22679702851444192,0.2712473137272219,True
Metoprolol,3,Parkplatz zur Warnow,73,3,41,43.83561643835616,0.4770067070489452,0.4585668863811398,True
Metoprolol,3,SAB Marina Bramow,76,3,60,18.421052631578945,0.3796577115146431,0.5205327005325063,True
Metoprolol,3,Schmarl-Dorf / IGA-Park,69,5,41,36.231884057971016,0.4186760260836947,0.35423248306977756,True
Metoprolol,3,Schwimmhalle Gehlsdorf,75,0,47,37.333333333333336,0.5956884631631192,0.4984777723399847,True
Metoprolol,3,Stadthafen Rostock,80,0,34,56.25,0.5806745560355246,0.4382574353417548,True
Metoprolol,3,Steilkueste Nienhagen,78,3,2,98.71794871794873,,,False
Metoprolol,3,Warnemuende Strand,80,0,1,100.0,,,False
Atrazine,1,Boergerende Strand,88,0,7,90.9090909090909,0.29584762483807847,0.30664093664341624,True
Atrazine,1,Diedrichshagen,86,1,4,88.37209302325581,,,False
Atrazine,1,Elmenhorst Strand,90,1,7,90.0,0.1490573990564313,0.16303148569604348,True
Atrazine,1,Jemnitzschleuse,85,1,4,95.29411764705881,,,False
Atrazine,1,Mittelmole Warnemuende,80,1,5,95.0,0.19048766846313883,0.21031224322103537,True
Atrazine,1,Muehlendamm,86,1,1,100.0,,,False
Atrazine,1,Neptun-Werft,78,1,4,94.87179487179486,,,False
Atrazine,1,Parkplatz zur Warnow,80,1,2,98.75,,,False
Atrazine,1,SAB Marina Bramow,86,1,1,100.0,,,False
Atrazine,1,Schmarl-Dorf / IGA-Park,81,1,2,98.76543209876543,,,False
Atrazine,1,Schwimmhalle Gehlsdorf,81,0,1,100.0,,,False
Atrazine,1,Stadthafen Rostock,86,0,1,100.0,,,False
Atrazine,1,Steilkueste Nienhagen,88,1,6,89.77272727272727,0.5287286190501154,0.5349554693538267,True
Atrazine,1,Warnemuende Strand,86,0,6,94.18604651162791,0.3092844727694093,0.3430455979351878,True
Atrazine,2,Boergerende Strand,85,0,8,89.41176470588236,0.24374349731510597,0.2522578993050541,True
Atrazine,2,Diedrichshagen,81,2,4,87.65432098765432,,,False
Atrazine,2,Elmenhorst Strand,85,2,7,89.41176470588236,0.3499714712608606,0.37547995331490186,True
Atrazine,2,Jemnitzschleuse,79,2,4,94.9367088607595,,,False
Atrazine,2,Mittelmole Warnemuende,76,2,5,94.73684210526315,0.1619862514604428,0.19440387073215262,True
Atrazine,2,Muehlendamm,81,2,1,100.0,,,False
Atrazine,2,Neptun-Werft,75,2,4,94.66666666666667,,,False
Atrazine,2,Parkplatz zur Warnow,77,2,2,98.7012987012987,,,False
Atrazine,2,SAB Marina Bramow,81,2,1,100.0,,,False
Atrazine,2,Schmarl-Dorf / IGA-Park,76,3,2,98.68421052631578,,,False
Atrazine,2,Schwimmhalle Gehlsdorf,78,0,1,100.0,,,False
Atrazine,2,Stadthafen Rostock,83,0,1,100.0,,,False
Atrazine,2,Steilkueste Nienhagen,83,2,6,89.1566265060241,0.25626524071467854,0.2595893903810505,True
Atrazine,2,Warnemuende Strand,84,0,6,94.04761904761905,0.3282345253653322,0.34617700180614086,True
Atrazine,3,Boergerende Strand,81,0,7,88.88888888888889,0.1402962069406555,0.15324738478500222,True
Atrazine,3,Diedrichshagen,76,3,4,86.8421052631579,,,False
Atrazine,3,Elmenhorst Strand,80,3,7,90.0,0.4339013242044916,0.4606569900107332,True
Atrazine,3,Jemnitzschleuse,74,3,3,95.94594594594594,,,False
Atrazine,3,Mittelmole Warnemuende,71,3,4,94.36619718309859,,,False
Atrazine,3,Muehlendamm,76,3,1,100.0,,,False
Atrazine,3,Neptun-Werft,68,3,4,94.11764705882352,,,False
Atrazine,3,Parkplatz zur Warnow,71,3,2,98.59154929577466,,,False
Atrazine,3,SAB Marina Bramow,76,3,1,100.0,,,False
Atrazine,3,Schmarl-Dorf / IGA-Park,69,5,2,98.55072463768117,,,False
Atrazine,3,Schwimmhalle Gehlsdorf,73,0,1,100.0,,,False
Atrazine,3,Stadthafen Rostock,79,0,1,100.0,,,False
Atrazine,3,Steilkueste Nienhagen,78,3,6,88.46153846153845,0.16019507511692033,0.16518003778396725,True
Atrazine,3,Warnemuende Strand,80,0,5,95.0,0.17172481727364552,0.17448081671602433,True
