r2,rmse,mae,features,model,target,input,strategy,fold,n_train,n_test,seed,model_path
0.9473176002502441,0.6570654752437722,0.4482996463775635,embedding,knn,salinity,16S+18S,leave_one_site_out,13,1133,84,42,...
0.5103559494018555,2.003162387254996,1.1870073080062866,raw,ridge,salinity,16S+18S,leave_one_site_out,13,1133,84,42,...
0.7573736906051636,1.4100834624296024,1.0348459482192993,raw,knn,salinity,16S+18S,leave_one_site_out,13,1133,84,42,...
0.7189178466796875,0.5263084987555782,0.3358837366104126,embedding,ridge,Chl_a_log1p,16S,random_kfold,0,1149,288,42,...
0.7042363882064819,0.5398786696362078,0.3445882499217987,embedding,knn,Chl_a_log1p,16S,random_kfold,0,1149,288,42,...
0.5776889324188232,0.6451192312413225,0.45164716243743896,raw,ridge,Chl_a_log1p,16S,random_kfold,0,1149,288,42,...
0.663069486618042,0.5762274246593131,0.3861444294452667,raw,knn,Chl_a_log1p,16S,random_kfold,0,1149,288,42,...
0.7842376232147217,0.40636996185314944,0.2771913409233093,embedding,ridge,Chl_a_log1p,16S,random_kfold,1,1149,288,42,...
0.7290792465209961,0.45536001422254596,0.3052523732185364,embedding,knn,Chl_a_log1p,16S,random_kfold,1,1149,288,42,...
0.5249069929122925,0.6030080444707151,0.43150076270103455,raw,ridge,Chl_a_log1p,16S,random_kfold,1,1149,288,42,...
0.6763831973075867,0.49767898735192473,0.3433952033519745,raw,knn,Chl_a_log1p,16S,random_kfold,1,1149,288,42,...
0.8386974334716797,0.37816941496981166,0.2595588266849518,embedding,ridge,Chl_a_log1p,16S,random_kfold,2,1150,287,42,...
0.8285799026489258,0.38984919756368513,0.2781965732574463,embedding,knn,Chl_a_log1p,16S,random_kfold,2,1150,287,42,...
0.3686484694480896,0.7481718033735842,0.4658433794975281,raw,ridge,Chl_a_log1p,16S,random_kfold,2,1150,287,42,...
0.7407801747322083,0.47940200921056564,0.33139777183532715,raw,knn,Chl_a_log1p,16S,random_kfold,2,1150,287,42,...
0.8433126211166382,0.372261038528801,0.24971438944339752,embedding,ridge,Chl_a_log1p,16S,random_kfold,3,1150,287,42,...
0.8311262130737305,0.3864663967240752,0.2768654227256775,embedding,knn,Chl_a_log1p,16S,random_kfold,3,1150,287,42,...
0.6524624228477478,0.5544105160592443,0.407044380903244,raw,ridge,Chl_a_log1p,16S,random_kfold,3,1150,287,42,...
0.7555882930755615,0.46493433222029334,0.3213934898376465,raw,knn,Chl_a_log1p,16S,random_kfold,3,1150,287,42,...
0.7351559996604919,0.48640908482770456,0.3055678606033325,embedding,ridge,Chl_a_log1p,16S,random_kfold,4,1150,287,42,...
0.7100083827972412,0.5089783709882625,0.32557955384254456,embedding,knn,Chl_a_log1p,16S,random_kfold,4,1150,287,42,...
0.5581333637237549,0.6282785256494419,0.44289830327033997,raw,ridge,Chl_a_log1p,16S,random_kfold,4,1150,287,42,...
0.6751853823661804,0.5386719878641277,0.3580760955810547,raw,knn,Chl_a_log1p,16S,random_kfold,4,1150,287,42,...
0.8133829236030579,0.39337616082508997,0.29633355140686035,embedding,ridge,Chl_a_log1p,16S,temporal_holdout,0,1150,287,42,...
0.7783955335617065,0.4286685131866519,0.3271902799606323,embedding,knn,Chl_a_log1p,16S,temporal_holdout,0,1150,287,42,...
-0.26106953620910645,1.0225908111314603,0.6956496238708496,raw,ridge,Chl_a_log1p,16S,temporal_holdout,0,1150,287,42,...
0.5896049737930298,0.583355644912003,0.4362277388572693,raw,knn,Chl_a_log1p,16S,temporal_holdout,0,1150,287,42,...
0.6779502630233765,0.5900571828545421,0.47063228487968445,embedding,ridge,Chl_a_log1p,16S,temporal_blocked_kfold,0,1149,288,42,...
0.6887354850769043,0.580092767087538,0.43602967262268066,embedding,knn,Chl_a_log1p,16S,temporal_blocked_kfold,0,1149,288,42,...
-138.38771057128906,12.275660827624833,3.703061103820801,raw,ridge,Chl_a_log1p,16S,temporal_blocked_kfold,0,1149,288,42,...
